userID,username,retweet user,utc off,profile created,favorites,followers,following,tweets,date,tweetID,retweetID,retweet count,text,day,year,month,day,hour,min,sec,url,lat,lon
'103708725,b'punzevie',officialhelene,-5.0,Mon Jan 11 00:37:36 +0000 2010,7527,177,242,5093,Mon Aug 01 04:57:46 +0000 2016,'759976391399972864,'759423438394044416,13,rt @officialhelene: i got the opportunity to dance on this season of @eastloshighshow alongside @official_twitch  [emoj_hugging_face] here's our combo  [emoj_stuck_out_tongue_closed_eyes]  https:  [...] ,Mon,2016,Aug,01,04,57,46,http://twitter.com/b'punzevie'/status/759976391399972864,,
'148032884,b'pedrojrcarloss',,-7.0,Tue May 25 17:21:39 +0000 2010,2023,315,201,18749,Mon Aug 01 09:11:02 +0000 2016,'760040128232337408,,0,my boyfriend & i would get so much into @eastloshighshow  [emoj_joy]   [emoj_joy] ,Mon,2016,Aug,01,09,11,02,http://twitter.com/b'pedrojrcarloss'/status/760040128232337408,,
'2454030033,b'DeniseRoyce',PrinceRoyce,-5.0,Wed Apr 02 04:21:47 +0000 2014,7988,510,389,13397,Mon Aug 01 15:35:21 +0000 2016,'760136847024545792,'758368944956776448,466,rt @princeroyce: ya puedes ver todos los episodios de #eastloscuatro @eastloshighshow s\\xf3lo en @hulu : https://t.co/sxksfwq7xa,Mon,2016,Aug,01,15,35,21,http://twitter.com/b'DeniseRoyce'/status/760136847024545792,,
'33901813,b'stupidgenius100',,-5.0,Tue Apr 21 13:27:04 +0000 2009,51,1030,1092,2607,Mon Aug 01 15:44:17 +0000 2016,'760139096639635456,,0,""" [""""] come here baby [""""]  by @stupidgenius100 in closing credits of @hulu original series @eastloshighshow thru @indigimusic  https://t.co/owghoqj7oi""",Mon,2016,Aug,01,15,44,17,http://twitter.com/b'stupidgenius100'/status/760139096639635456,,
'339127929,b'skyscraper2013',HollywoodLife,-4.0,Wed Jul 20 16:46:57 +0000 2011,48856,1425,490,168425,Mon Aug 01 15:58:01 +0000 2016,'760142550313336833,'760135557083258880,2,rt @hollywoodlife: need more @eastloshighshow in your life? check out this exclusive season 4 bonus scene: https://t.co/zefw3kqeic,Mon,2016,Aug,01,15,58,01,http://twitter.com/b'skyscraper2013'/status/760142550313336833,,
'532793780,b'j_fuentes08',,-7.0,Thu Mar 22 03:31:26 +0000 2012,619,270,654,846,Mon Aug 01 16:01:16 +0000 2016,'760143367988654080,,0,@a_rangel12 @eastloshighshow omg [comma]  you finished it!! check out their behind the scenes videos #vota videos in partnership with @calendow :),Mon,2016,Aug,01,16,01,16,http://twitter.com/b'j_fuentes08'/status/760143367988654080,,
'1038174060,b'samantha0316',,-5.0,Wed Dec 26 22:06:27 +0000 2012,2641,245,265,2621,Mon Aug 01 16:12:34 +0000 2016,'760146212397780992,,0,finished all seasons of @eastloshighshow in like a month or less  [emoj_flushed]  i want more  [emoj_sob]  #season5whereyouat  [emoj_sleuth_or_spy]  [emoj_rowboat_type_3,Mon,2016,Aug,01,16,12,34,http://twitter.com/b'samantha0316'/status/760146212397780992,,
'38953632,b'Carlitosway89',,-5.0,Sat May 09 23:45:58 +0000 2009,2139,102298,1566,17330,Mon Aug 01 16:45:45 +0000 2016,'760154564029022208,,0,happy monday!\\n\\nhow we prepare for a dance battle! bts @eastloshighshow season 4  [emoj_grin]   [...]  https://t.co/8ii2l8oo1m,Mon,2016,Aug,01,16,45,45,http://twitter.com/b'Carlitosway89'/status/760154564029022208,,
'2501893852,b'Beasterabii',Carlitosway89,,Tue Apr 22 13:54:50 +0000 2014,13149,668,65,35836,Mon Aug 01 16:46:33 +0000 2016,'760154765699391488,'760154564029022208,1,rt @carlitosway89: happy monday!\\n\\nhow we prepare for a dance battle! bts @eastloshighshow season 4  [emoj_grin]   [...]  https://t.co/8ii2l8oo1m,Mon,2016,Aug,01,16,46,33,http://twitter.com/b'Beasterabii'/status/760154765699391488,,
'2560681134,b'SuzieTurcios',Carlitosway89,-5.0,Wed Jun 11 06:07:50 +0000 2014,17104,612,1449,10621,Mon Aug 01 16:48:43 +0000 2016,'760155309750882304,'760154564029022208,2,rt @carlitosway89: happy monday!\\n\\nhow we prepare for a dance battle! bts @eastloshighshow season 4  [emoj_grin]   [...]  https://t.co/8ii2l8oo1m,Mon,2016,Aug,01,16,48,43,http://twitter.com/b'SuzieTurcios'/status/760155309750882304,,
